mecA	0	5	10
mecA	5	8	11
mecA	8	22	12
mecA	22	23	13
mecA	23	24	14
mecA	24	34	15
mecA	34	52	16
mecA	52	54	15
mecA	54	55	17
mecA	55	65	18
mecA	65	80	19
mecA	80	88	20
mecA	88	93	21
mecA	93	94	19
mecA	94	98	20
mecA	98	99	19
mecA	99	127	17
mecA	127	128	16
mecA	128	130	15
mecA	130	132	14
mecA	132	138	13
mecA	138	140	14
mecA	140	145	13
mecA	145	152	15
mecA	152	155	17
mecA	155	158	16
mecA	158	166	15
mecA	166	172	16
mecA	172	173	15
mecA	173	184	14
mecA	184	185	13
mecA	185	197	14
mecA	197	201	15
mecA	201	204	16
mecA	204	205	15
mecA	205	206	14
mecA	206	213	15
mecA	213	215	16
mecA	215	224	15
mecA	224	230	16
mecA	230	238	15
mecA	238	244	14
mecA	244	251	13
mecA	251	288	14
mecA	288	295	13
mecA	295	302	11
mecA	302	316	9
mecA	316	329	8
mecA	329	335	7
mecA	335	338	6
mecA	338	347	7
mecA	347	350	6
mecA	350	351	7
mecA	351	354	6
mecA	354	360	5
mecA	360	363	7
mecA	363	374	6
mecA	374	378	5
mecA	378	401	6
mecA	401	431	5
mecA	431	441	6
mecA	441	488	7
mecA	488	490	6
mecA	490	491	7
mecA	491	498	8
mecA	498	500	7
mecA	500	507	6
mecA	507	510	7
mecA	510	543	5
mecA	543	545	6
mecA	545	559	7
mecA	559	576	8
mecA	576	581	10
mecA	581	588	9
mecA	588	591	10
mecA	591	593	9
mecA	593	598	8
mecA	598	604	9
mecA	604	620	10
mecA	620	637	11
mecA	637	640	13
mecA	640	641	12
mecA	641	646	11
mecA	646	657	12
mecA	657	660	11
mecA	660	686	12
mecA	686	700	13
mecA	700	702	14
mecA	702	709	15
mecA	709	726	14
mecA	726	737	12
mecA	737	738	13
mecA	738	748	12
mecA	748	754	11
mecA	754	758	10
mecA	758	759	11
mecA	759	770	13
mecA	770	773	12
mecA	773	778	13
mecA	778	783	15
mecA	783	787	16
mecA	787	791	14
mecA	791	793	15
mecA	793	796	17
mecA	796	803	16
mecA	803	804	17
mecA	804	810	18
mecA	810	811	17
mecA	811	813	18
mecA	813	826	17
mecA	826	830	18
mecA	830	845	19
mecA	845	850	18
mecA	850	852	17
mecA	852	862	16
mecA	862	864	17
mecA	864	882	18
mecA	882	887	19
mecA	887	889	18
mecA	889	890	19
mecA	890	896	20
mecA	896	909	21
mecA	909	923	19
mecA	923	928	18
mecA	928	933	17
mecA	933	936	16
mecA	936	941	17
mecA	941	943	16
mecA	943	953	14
mecA	953	959	13
mecA	959	961	14
mecA	961	967	13
mecA	967	976	14
mecA	976	980	13
mecA	980	993	12
mecA	993	1012	13
mecA	1012	1014	12
mecA	1014	1032	11
mecA	1032	1034	10
mecA	1034	1039	11
mecA	1039	1040	10
mecA	1040	1046	9
mecA	1046	1058	8
mecA	1058	1078	7
mecA	1078	1084	6
mecA	1084	1086	7
mecA	1086	1087	6
mecA	1087	1089	7
mecA	1089	1104	8
mecA	1104	1109	7
mecA	1109	1117	6
mecA	1117	1129	5
mecA	1129	1134	6
mecA	1134	1138	8
mecA	1138	1142	9
mecA	1142	1143	10
mecA	1143	1161	9
mecA	1161	1177	10
mecA	1177	1184	12
mecA	1184	1227	11
mecA	1227	1231	12
mecA	1231	1234	13
mecA	1234	1237	12
mecA	1237	1239	11
mecA	1239	1247	10
mecA	1247	1262	11
mecA	1262	1266	12
mecA	1266	1279	13
mecA	1279	1284	12
mecA	1284	1288	10
mecA	1288	1292	9
mecA	1292	1311	8
mecA	1311	1317	7
mecA	1317	1318	8
mecA	1318	1327	9
mecA	1327	1344	7
mecA	1344	1349	8
mecA	1349	1376	9
mecA	1376	1377	10
mecA	1377	1381	9
mecA	1381	1386	8
mecA	1386	1388	9
mecA	1388	1405	8
mecA	1405	1412	9
mecA	1412	1416	8
mecA	1416	1426	7
mecA	1426	1438	8
mecA	1438	1468	10
mecA	1468	1481	9
mecA	1481	1490	10
mecA	1490	1499	9
mecA	1499	1526	8
mecA	1526	1536	7
mecA	1536	1537	6
mecA	1537	1555	7
mecA	1555	1563	6
mecA	1563	1565	7
mecA	1565	1576	8
mecA	1576	1579	7
mecA	1579	1584	8
mecA	1584	1588	9
mecA	1588	1594	7
mecA	1594	1614	8
mecA	1614	1616	9
mecA	1616	1622	10
mecA	1622	1628	11
mecA	1628	1631	12
mecA	1631	1636	11
mecA	1636	1649	12
mecA	1649	1687	13
mecA	1687	1695	12
mecA	1695	1705	13
mecA	1705	1713	14
mecA	1713	1715	13
mecA	1715	1729	12
mecA	1729	1734	11
mecA	1734	1744	10
mecA	1744	1755	9
mecA	1755	1756	11
mecA	1756	1764	12
mecA	1764	1767	11
mecA	1767	1772	10
mecA	1772	1778	9
mecA	1778	1786	8
mecA	1786	1791	7
mecA	1791	1798	8
mecA	1798	1799	9
mecA	1799	1826	8
mecA	1826	1835	9
mecA	1835	1845	10
mecA	1845	1846	7
mecA	1846	1850	10
mecA	1850	1855	11
mecA	1855	1863	10
mecA	1863	1869	11
mecA	1869	1873	12
mecA	1873	1905	14
mecA	1905	1906	16
mecA	1906	1916	15
mecA	1916	1918	14
mecA	1918	1920	15
mecA	1920	1926	16
mecA	1926	1931	17
mecA	1931	1948	16
mecA	1948	1970	15
mecA	1970	1971	16
mecA	1971	1976	17
mecA	1976	1985	16
mecA	1985	1996	15
mecA	1996	2000	12
mecA	2000	2007	11
